ID	Name	Type	Size	Range
E111	전통시장 사용분	9(10)	10	[916 ~ 926]
E112	대중교통 이용분	9(10)	10	[926 ~ 936]
E113	기부금	9(13)	13	[936 ~ 949]
E114	공란	9(10)	10	[949 ~ 959]
E115	공란	9(10)	10	[959 ~ 969]
E116	공란	9(10)	10	[969 ~ 979]
E117	관계	X(1)	1	[979 ~ 980]
E118	내･외국인 구분코드	X(1)	1	[980 ~ 981]
E119	성명	X(30)	30	[981 ~ 1011]
E120	주민등록번호	X(13)	13	[1011 ~ 1024]
E121	기본공제	X(1)	1	[1024 ~ 1025]
E122	장애인공제	X(1)	1	[1025 ~ 1026]
E123	부녀자공제	X(1)	1	[1026 ~ 1027]
E124	경로우대공제	X(1)	1	[1027 ~ 1028]
E125	한부모가족공제	X(1)	1	[1028 ~ 1029]
E126	출산‧입양공제	X(1)	1	[1029 ~ 1030]
E127	자녀공제	X(1)	1	[1030 ~ 1031]
E128	교육비공제	X(1)	1	[1031 ~ 1032]
E129	혼인세액공제	X(1)	1	[1032 ~ 1033]
E130	공란	X(1)	1	[1033 ~ 1034]
E131	보험료_건강보험	9(10)	10	[1034 ~ 1044]
E132	보험료_고용보험	9(10)	10	[1044 ~ 1054]
E133	보험료_보장성보험	9(10)	10	[1054 ~ 1064]
E134	보험료_장애인전용 보장성보험	9(10)	10	[1064 ~ 1074]
E135	의료비_일반	9(10)	10	[1074 ~ 1084]
E136	의료비_미숙아‧선천성이상아	9(10)	10	[1084 ~ 1094]
E137	의료비_난임	9(10)	10	[1094 ~ 1104]
E138	의료비_6세이하‧65세이상‧장애인‧건강보험산정특례자	9(10)	10	[1104 ~ 1114]
E139	의료비_실손의료보험금	9(10)	10	[1114 ~ 1124]
E140	교육비_일반	9(10)	10	[1124 ~ 1134]
E141	교육비_장애인특수교육비	9(10)	10	[1134 ~ 1144]
E142	신용카드	9(10)	10	[1144 ~ 1154]
E143	직불카드등	9(10)	10	[1154 ~ 1164]
E144	현금영수증	9(10)	10	[1164 ~ 1174]
E145	문화‧체육 사용분	9(10)	10	[1174 ~ 1184]
E146	전통시장 사용분	9(10)	10	[1184 ~ 1194]
E147	대중교통 이용분	9(10)	10	[1194 ~ 1204]
E148	기부금	9(13)	13	[1204 ~ 1217]
E149	공란	9(10)	10	[1217 ~ 1227]
E150	공란	9(10)	10	[1227 ~ 1237]
E151	공란	9(10)	10	[1237 ~ 1247]
E152	보험료_건강보험	9(10)	10	[1247 ~ 1257]
E153	보험료_고용보험	9(10)	10	[1257 ~ 1267]
E154	보험료_보장성보험	9(10)	10	[1267 ~ 1277]
E155	보험료_장애인전용 보장성보험	9(10)	10	[1277 ~ 1287]
E156	의료비_일반	9(10)	10	[1287 ~ 1297]
E157	의료비_미숙아‧선천성이상아	9(10)	10	[1297 ~ 1307]
E158	의료비_난임	9(10)	10	[1307 ~ 1317]
E159	의료비_6세이하‧65세이상‧장애인‧건강보험산정특례자	9(10)	10	[1317 ~ 1327]
E160	의료비_실손의료보험금	9(1)	1	[1327 ~ 1328]
E161	교육비_일반	9(10)	20	[1328 ~ 1348]
E162	교육비_장애인특수교육	9(10)	10	[1348 ~ 1358]
E163	신용카드	9(10)	10	[1358 ~ 1368]
E164	직불카드등	9(10)	10	[1368 ~ 1378]
E165	문화‧체육 사용분	9(10)	10	[1378 ~ 1388]
E166	전통시장 사용분	9(10)	10	[1388 ~ 1398]
E167	대중교통 이용분	9(10)	10	[1398 ~ 1408]
E168	기부금	9(13)	13	[1408 ~ 1421]
E169	공란	9(10)	10	[1421 ~ 1431]
E170	공란	9(10)	10	[1431 ~ 1441]
E171	공란	9(10)	10	[1441 ~ 1451]
E172	부양가족레코드일련번호	9(2)	2	[1451 ~ 1453]
E173	공란	X(557)	557	[1453 ~ 2010]
